Date,Open,High,Low,Close,Adj Close,Volume
2016-12-19,182.539993,183.800003,181.339996,182.630005,135.378220,1171300
2016-12-20,182.570007,183.630005,181.399994,182.979996,135.637665,1295200
2016-12-21,183.279999,184.440002,177.860001,178.169998,132.072159,1617100
2016-12-22,178.000000,178.839996,175.020004,176.240005,130.641510,1618000
2016-12-23,176.899994,176.899994,174.509995,175.949997,130.426529,973500
2016-12-27,175.960007,176.360001,175.289993,175.960007,130.433960,1041200
2016-12-28,176.410004,176.559998,173.110001,174.199997,129.129333,1290100
2016-12-29,174.779999,176.410004,173.399994,175.979996,130.448807,1472900
2016-12-30,176.610001,178.800003,175.610001,177.669998,131.701538,2285100
2017-01-03,179.089996,182.619995,176.869995,182.619995,135.370819,2751200
2017-01-04,182.910004,184.130005,181.539993,184.080002,136.453079,1991700
2017-01-05,179.690002,184.729996,178.169998,184.399994,136.690262,2186400
2017-01-06,183.550003,188.100006,182.600006,186.830002,138.491592,2251400
2017-01-09,186.490005,187.789993,185.289993,185.910004,137.809586,1954000
2017-01-10,185.119995,185.899994,183.649994,184.190002,136.534622,2666100
2017-01-11,183.699997,184.479996,181.570007,181.990005,134.903824,2151700
2017-01-12,181.610001,183.220001,181.110001,183.089996,135.719208,1243200
2017-01-13,182.869995,184.970001,182.479996,184.009995,136.401215,1740400
2017-01-17,184.369995,186.759995,184.139999,185.330002,137.379669,1888500
2017-01-18,185.000000,187.169998,184.720001,186.570007,138.298859,1330300
2017-01-19,185.520004,185.660004,182.729996,182.919998,135.593216,1939700
2017-01-20,182.830002,185.039993,181.100006,184.529999,136.786652,2673600
2017-01-23,184.380005,185.210007,183.809998,185.000000,137.135071,2150200
2017-01-24,185.190002,185.369995,183.419998,184.139999,136.497559,2315200
2017-01-25,183.899994,184.220001,182.089996,182.399994,135.207748,2063800
2017-01-26,182.910004,183.419998,181.869995,182.089996,134.977951,1891300
2017-01-27,182.570007,182.679993,178.529999,179.509995,133.065445,2194000
2017-01-30,179.960007,179.979996,176.619995,177.740005,131.753403,1716100
2017-01-31,179.009995,184.070007,179.009995,183.770004,136.223312,3403200
2017-02-01,185.380005,186.000000,181.490005,181.529999,134.562836,2925100
2017-02-02,181.309998,183.520004,181.309998,182.960007,135.622864,1535100
2017-02-03,184.100006,185.410004,183.770004,185.330002,137.379669,1805300
2017-02-06,184.240005,185.500000,181.750000,182.070007,134.963089,1179400
2017-02-07,182.130005,183.360001,178.520004,179.059998,132.731903,1812900
2017-02-08,179.259995,181.139999,178.660004,180.619995,133.888306,1406100
2017-02-09,181.009995,182.869995,180.789993,181.990005,134.903824,1298500
2017-02-10,180.369995,182.679993,180.050003,182.100006,136.295990,1193500
2017-02-13,182.830002,183.789993,180.529999,181.669998,135.974121,1250600
2017-02-14,181.080002,182.389999,179.850006,180.940002,135.427734,1079700
2017-02-15,180.429993,180.830002,176.839996,178.539993,133.631439,1954900
2017-02-16,178.880005,180.860001,178.550003,179.179993,134.110458,1373100
2017-02-17,179.360001,182.050003,178.389999,181.089996,135.540009,1657800
2017-02-21,181.529999,185.619995,181.039993,185.160004,138.586273,1521200
2017-02-22,184.830002,185.690002,183.600006,184.699997,138.241974,1469200
2017-02-23,184.699997,185.789993,183.630005,184.990005,138.459045,1043700
2017-02-24,184.690002,184.710007,181.899994,184.289993,137.935120,1213100
2017-02-27,185.039993,187.350006,184.300003,186.330002,139.462006,1313800
2017-02-28,185.669998,186.369995,182.789993,184.399994,138.017441,1841800
2017-03-01,184.270004,184.880005,182.220001,182.520004,136.610352,1845900
2017-03-02,182.520004,182.559998,179.600006,181.139999,135.577469,1566500
2017-03-03,181.509995,181.720001,178.809998,179.399994,134.275116,1729600
2017-03-06,178.729996,180.130005,177.529999,178.800003,133.826050,1104200
2017-03-07,178.490005,179.089996,175.919998,177.289993,132.695816,1379700
2017-03-08,176.539993,176.899994,173.660004,174.690002,130.749832,3275700
2017-03-09,174.660004,174.770004,169.169998,169.320007,126.730583,4031600
2017-03-10,169.320007,171.800003,167.589996,168.169998,125.869804,3101200
2017-03-13,169.000000,169.759995,166.889999,168.690002,126.259010,2719600
2017-03-14,168.110001,169.389999,166.649994,167.229996,125.166260,2718900
2017-03-15,168.009995,172.979996,167.500000,170.000000,127.239540,2657100
2017-03-16,170.000000,170.580002,169.000000,169.399994,126.790421,1110200
2017-03-17,168.929993,169.720001,167.009995,168.020004,125.757561,2846800
2017-03-20,168.449997,169.220001,167.759995,168.110001,125.824913,1076000
2017-03-21,168.570007,169.720001,166.919998,168.960007,126.461128,2042000
2017-03-22,168.710007,169.000000,163.550003,165.399994,123.796577,2554700
2017-03-23,165.600006,169.589996,165.479996,167.559998,125.413261,1459700
2017-03-24,167.899994,168.350006,166.500000,167.949997,125.705185,1545900
2017-03-27,166.919998,168.360001,165.570007,166.149994,124.357910,1598200
2017-03-28,166.149994,168.119995,165.250000,168.050003,125.779991,1980600
2017-03-29,167.820007,169.889999,167.070007,169.860001,127.134750,1916500
2017-03-30,169.179993,171.000000,167.350006,170.039993,127.269432,1548100
2017-03-31,170.360001,172.490005,170.220001,172.029999,128.758926,2052000
2017-04-03,172.279999,174.880005,171.809998,174.059998,130.278305,2526500
2017-04-04,174.050003,175.710007,170.429993,170.559998,127.658630,2966100
2017-04-05,171.000000,171.600006,170.059998,170.289993,127.456573,1725000
2017-04-06,170.080002,170.630005,169.039993,169.800003,127.089859,1819800
2017-04-07,169.619995,170.910004,168.949997,169.809998,127.097313,1501100
2017-04-10,169.669998,171.600006,169.169998,171.490005,128.354736,1379400
2017-04-11,171.410004,173.970001,171.289993,173.350006,129.746857,1807600
2017-04-12,172.820007,174.830002,172.149994,173.279999,129.694473,1913900
2017-04-13,173.320007,174.229996,172.789993,173.839996,130.113617,1043300
2017-04-17,174.369995,176.169998,173.830002,174.570007,130.660019,1215700
2017-04-18,173.820007,174.830002,173.389999,174.729996,130.779739,1190200
2017-04-19,174.399994,175.830002,173.759995,174.429993,130.555222,1367000
2017-04-20,174.759995,174.970001,173.130005,174.729996,130.779739,1145900
2017-04-21,174.600006,174.979996,171.300003,171.979996,128.721481,2003800
2017-04-24,173.020004,173.160004,167.539993,168.940002,126.446129,2407300
2017-04-25,169.320007,169.550003,167.419998,168.039993,125.772499,1754600
2017-04-26,167.619995,167.729996,164.880005,165.039993,123.527084,2025600
2017-04-27,165.039993,170.000000,165.039993,167.869995,125.645264,2388200
2017-04-28,167.649994,167.820007,164.830002,165.259995,123.691750,1838300
2017-05-01,166.220001,170.240005,164.830002,168.610001,126.199135,2955500
2017-05-02,168.750000,169.729996,167.389999,168.789993,126.333878,1954800
2017-05-03,169.460007,169.779999,165.199997,165.589996,123.938789,1520500
2017-05-04,164.610001,165.710007,163.300003,165.419998,123.811523,2223200
2017-05-05,165.449997,165.889999,164.059998,164.520004,123.137924,1665000
2017-05-08,164.839996,165.000000,160.449997,162.839996,121.880478,2399600
2017-05-09,163.000000,163.000000,160.660004,162.460007,121.596107,2041000
2017-05-10,162.460007,165.750000,162.190002,165.649994,123.983688,2429300
2017-05-11,163.309998,163.490005,159.669998,161.779999,121.087105,2684400
2017-05-12,161.449997,161.660004,157.309998,157.479996,117.868698,2834800
2017-05-15,155.720001,157.649994,155.509995,156.160004,118.194160,2108400
2017-05-16,156.160004,156.229996,153.220001,154.130005,116.657684,3241200
2017-05-17,153.929993,156.050003,152.089996,154.259995,116.756073,3276400
2017-05-18,153.690002,154.759995,152.509995,154.009995,116.566856,2319600
2017-05-19,154.229996,159.160004,153.300003,157.869995,119.488403,4364900
2017-05-22,158.389999,160.119995,156.940002,157.600006,119.284073,2106100
2017-05-23,157.600006,158.259995,156.839996,157.250000,119.019157,1802000
2017-05-24,157.369995,159.979996,156.830002,159.779999,120.934052,1619600
2017-05-25,160.070007,162.250000,159.080002,160.699997,121.630394,1777800
2017-05-26,160.740005,160.759995,156.970001,157.259995,119.026680,1475500
2017-05-30,158.039993,158.279999,154.949997,154.979996,117.301033,1767500
2017-05-31,155.089996,156.250000,153.919998,154.250000,116.748505,3560300
2017-06-01,154.000000,155.259995,152.639999,154.830002,117.187500,2096500
2017-06-02,155.380005,156.250000,152.100006,152.639999,115.529961,1903100
2017-06-05,152.250000,152.910004,150.149994,152.259995,115.242371,1609000
2017-06-06,152.429993,153.970001,150.649994,153.089996,115.870514,1836000
2017-06-07,153.020004,156.119995,152.820007,155.270004,117.520538,2070300
2017-06-08,155.270004,156.539993,153.699997,154.570007,116.990746,1790400
2017-06-09,154.500000,156.559998,152.539993,155.600006,117.770309,1217500
2017-06-12,155.539993,160.869995,155.399994,159.740005,120.903778,2386400
2017-06-13,159.309998,160.820007,157.089996,158.809998,120.199875,1940400
2017-06-14,159.649994,160.789993,158.809998,159.639999,120.828072,1793000
2017-06-15,158.850006,161.740005,158.059998,160.729996,121.653076,1647400
2017-06-16,161.179993,162.889999,158.250000,160.259995,121.297333,4639200
2017-06-19,159.770004,159.770004,157.210007,158.970001,120.320999,2150500
2017-06-20,160.589996,161.339996,157.630005,158.979996,120.328545,1829000
2017-06-21,159.429993,159.919998,157.550003,158.779999,120.177162,1749600
2017-06-22,158.600006,159.759995,157.000000,159.130005,120.442093,1903000
2017-06-23,159.479996,160.440002,158.410004,158.899994,120.267998,1967900
2017-06-26,159.770004,163.169998,159.690002,160.449997,121.441154,1801400
2017-06-27,159.940002,163.449997,159.800003,162.369995,122.894371,1819200
2017-06-28,163.250000,164.690002,162.729996,163.800003,123.976685,2014300
2017-06-29,163.500000,165.380005,162.529999,162.580002,123.053329,2008500
2017-06-30,163.600006,164.869995,160.199997,161.759995,122.432671,1568800
2017-07-03,162.360001,165.389999,162.300003,165.179993,125.021187,1057100
2017-07-05,164.979996,165.350006,158.179993,158.229996,119.760895,2456900
2017-07-06,157.910004,159.059998,155.429993,155.779999,117.906532,1594500
2017-07-07,156.179993,156.960007,155.429993,156.639999,118.557457,1343800
2017-07-10,156.860001,157.139999,155.380005,155.440002,117.649193,1140400
2017-07-11,155.729996,155.729996,153.139999,153.940002,116.513893,1668400
2017-07-12,155.240005,158.960007,155.169998,155.520004,117.709747,1861400
2017-07-13,156.130005,158.460007,155.809998,158.050003,119.624672,1331000
2017-07-14,157.309998,160.929993,157.309998,160.729996,121.653076,1365400
2017-07-17,160.630005,162.820007,160.020004,162.130005,122.712753,1246900
2017-07-18,161.720001,162.479996,159.639999,159.830002,120.971924,1268700
2017-07-19,159.789993,160.649994,159.500000,160.270004,121.304916,1185700
2017-07-20,160.690002,162.050003,160.059998,161.009995,121.865021,1241300
2017-07-21,160.889999,161.289993,159.000000,160.580002,121.539558,1321500
2017-07-24,160.619995,161.970001,159.149994,160.039993,121.130829,1221000
2017-07-25,160.550003,162.059998,159.199997,161.570007,122.288887,1362300
2017-07-26,162.000000,164.300003,161.419998,163.770004,123.954002,1090500
2017-07-27,162.929993,166.960007,161.570007,166.330002,125.891586,1498800
2017-07-28,163.820007,165.690002,160.229996,160.520004,121.494156,2031700
2017-07-31,160.600006,160.850006,157.779999,158.500000,119.965233,3627000
2017-08-01,165.250000,165.500000,159.179993,164.580002,124.567062,3144100
2017-08-02,162.460007,165.350006,160.309998,161.369995,122.137466,2486400
2017-08-03,160.940002,163.550003,160.130005,161.949997,122.576477,1919500
2017-08-04,162.210007,164.770004,161.770004,164.529999,124.529236,1647200
2017-08-07,164.460007,167.119995,163.479996,166.369995,125.921867,1534200
2017-08-08,165.759995,166.979996,162.300003,164.089996,124.196198,1387900
2017-08-09,164.070007,164.389999,161.619995,163.410004,123.681511,1194800
2017-08-10,163.149994,163.149994,161.009995,161.149994,121.970955,1191500
2017-08-11,160.350006,160.929993,156.000000,157.889999,119.503532,1839300
2017-08-14,158.580002,160.960007,158.070007,160.339996,121.357918,1644600
2017-08-15,157.940002,158.520004,155.380005,157.490005,120.554161,2024300
2017-08-16,158.250000,159.610001,157.350006,157.949997,120.906311,2043300
2017-08-17,157.750000,158.789993,157.199997,157.199997,120.332161,1302700
2017-08-18,155.770004,156.160004,152.509995,153.580002,117.561172,2131500
2017-08-21,153.919998,155.490005,152.550003,154.580002,118.326607,1145800
2017-08-22,154.830002,155.679993,152.919998,153.229996,117.293259,1052100
2017-08-23,153.100006,157.759995,152.970001,157.570007,120.615417,1731200
2017-08-24,158.669998,161.070007,156.380005,156.660004,119.918816,2289900
2017-08-25,157.169998,159.990005,155.850006,159.039993,121.740608,1501200
2017-08-28,159.199997,159.690002,156.110001,156.830002,120.048958,1100900
2017-08-29,156.419998,157.559998,155.669998,156.250000,119.604965,1068500
2017-08-30,156.699997,157.119995,154.449997,157.020004,120.194397,909100
2017-08-31,157.529999,158.589996,156.479996,156.850006,120.064255,2279500
2017-09-01,157.520004,159.520004,157.000000,158.190002,121.089989,1043200
2017-09-05,158.190002,159.179993,156.000000,156.880005,120.087196,1397800
2017-09-06,157.570007,159.869995,157.100006,158.729996,121.503326,1676600
